id,stem,category
Q0001,聚会中认识新朋友，我更倾向于,interpersonal-relationship
Q0002,朋友向你倾诉烦恼，你的第一反应是,interpersonal-relationship
Q0003,团队里有人被忽视，你会,interpersonal-relationship
Q0004,和亲密的人意见不合，你更可能,interpersonal-relationship
Q0005,新加入一个群体，你需要,interpersonal-relationship
Q0006,别人向你求助时，你通常,interpersonal-relationship
Q0007,社交活动结束后，你,interpersonal-relationship
Q0008,面对他人的强烈情绪，你,interpersonal-relationship
Q0009,在一个人多的陌生场合，你,interpersonal-relationship
Q0010,和陌生人第一次合作，你,interpersonal-relationship
Q0011,面对一个重要选择，我通常会,decision-making
Q0012,信息不足却必须决策时，你,decision-making
Q0013,几个都不错的选项摆面前，你,decision-making
Q0014,涉及风险的决策，你,decision-making
Q0015,长远回报和当下收益冲突时，你,decision-making
Q0016,身边人意见都不一致，你,decision-making
Q0017,必须立刻决定时，你会,decision-making
Q0018,两个选项涉及价值观冲突，你,decision-making
Q0019,做过的决定，你,decision-making
Q0020,理性和直觉打架时，你,decision-making
Q0021,事情搞砸后，我最典型的反应是,stress-response
Q0022,多重截止日期压来，你,stress-response
Q0023,被人误解时，你,stress-response
Q0024,失败后的恢复，你靠,stress-response
Q0025,突发变故打乱计划，你,stress-response
Q0026,长期高压下，你,stress-response
Q0027,期望落空时，你,stress-response
Q0028,公开场合出错，你,stress-response
Q0029,资源不足却要交付，你,stress-response
Q0030,情绪过载时，你,stress-response
Q0031,我最容易被什么样的目标打动？,motivation-value
Q0032,我最在意的认可来自,motivation-value
Q0033,我觉得意义感主要来自,motivation-value
Q0034,我愿意妥协的底线是,motivation-value
Q0035,投入大量时间的事，标准是,motivation-value
Q0036,我评判自己成功的尺度是,motivation-value
Q0037,我能长期坚持的事，通常是,motivation-value
Q0038,我最不愿做的事是,motivation-value
Q0039,内在动机和外在奖励冲突时，你,motivation-value
Q0040,我做选择的最终依据通常是,motivation-value
Q0041,学一个新东西时，我更喜欢,learning-cognition
Q0042,面对复杂概念，你,learning-cognition
Q0043,信息过载时，你,learning-cognition
Q0044,我的好奇心主要指向,learning-cognition
Q0045,我记忆最深的方式是,learning-cognition
Q0046,遇到解不出的难题，你,learning-cognition
Q0047,我的学习节奏偏好是,learning-cognition
Q0048,知识和经验，你更看重,learning-cognition
Q0049,学习时我容易,learning-cognition
Q0050,和人讨论时，我,learning-cognition
Q0051,理想的工作状态是,work-career
Q0052,团队里你更常扮演,work-career
Q0053,在团队协作中，你更享受哪种角色,work-career
Q0054,工作中最让我有成就感的是,work-career
